25,E' ammesso il VDS/VL all'interno di una TMA?,[1/0]solo se autorizzato.,[0/0]si.,"[0/0]sì, ma in assenza di traffico di aeromobili.",

26,Che cosa è una Aerovia o AWY?,[0/0]una via di rullaggio a terra su un aeroporto.,"[1/0]una porzione di spazio aereo controllato che si estende verso l'alto da un livello posto al disopra della superficie terrestre fino ad un determinato livello superiore, a forma di corridoio.","[0/0]una porzione di spazio aereo, non necessariamente controllato, in cui si svolge attività di aeromobili.",

27,E' ammesso volare in deltaplano o parapendio in un'aerovia o AWY?,[1/0]no.,"[0/0]sì, se non c'è traffico.",[0/0]si.,

28,Che cosa è una zona P "PAPA"?,[1/0]una porzione di spazio aereo all'interno della quale è normalmente proibito il volo a tutti gli aeromobili.,[0/0]una porzione di spazio aereo all'interno della quale è permesso il volo ai soli parapendio.,[0/0]una porzione di spazio aereo all'interno della quale non possono volare i soli velivoli militari.,

29,Che cosa è una zona D "DELTA"?,[0/0]una porzione di spazio aereo all'interno della quale è permesso volare in deltaplano.,[1/0]una porzione di spazio aereo all'interno della quale è pericoloso volare per tutti i tipi di aeromobile.,[0/0]una porzione di spazio aereo all'interno della quale è pericoloso volare per alcuni tipi di aeromobili civili.,

30,Che cosa è una zona R "ROMEO"?,[0/0]una porzione di spazio aereo all'interno della quale il volo è raccomandato per tutti i tipi di aeromobile.,[0/0]una porzione di spazio aereo all'interno della quale il volo è vietato.,[1/0]una porzione di spazio aereo all'interno della quale il VDS deve essere espressamente autorizzato poiché sono svolte specifiche attività di volo civile o militare.,

31,"E' possibile normalmente volare con deltaplano e parapendio all'interno delle zone denominate nelle carte aeronautiche con le lettere P, D ("PAPA", "DELTA")?",[1/0]no.,"[0/0]sì, ma solo nei giorni festivi.",[0/0]si.,

32,In termica decide il senso di rotazione:,[1/0]il pilota che per primo entra nella corrente ascensionale stabilisce il senso di rotazione.,[0/0]il pilota con meno esperienza deve avere la precedenza.,[0/0]si vira verso destra alla presenza di cumulo e verso sinistra in caso contrario.,

33,"Tra un apparecchio per il volo libero ed un apparecchio a motore, chi ha la precedenza in caso di rotte convergenti?","[0/0]l'apparecchio a motore, in quanto più veloce.","[0/0]l'apparecchio a motore, in quanto meno manovrabile.",[1/0]l'apparecchio per il volo libero.,

34,Due apparecchi vds si trovano su rotte convergenti alla stessa quota. Come si devono comportare i rispettivi piloti?,[0/0]uno mantiene la quota e l'altro la cambia per evitare la collisione.,"[0/0]quello che viene da destra continua diritto, l'altro vira per evitare la collisione.",[1/0]entrambi effettuano una virata a destra mantenendo l'altro in vista per evitare la collisione.,

35,Due apparecchi per il VDS privi di motore compiono un volo di pendio e rischiano la collisione frontale. Come si comportano i rispettivi piloti?,"[0/0]quello con il pendio alla propria sinistra prosegue diritto, l'altro vira a sinistra per evitare la collisione.","[1/0]quello con il pendio alla propria destra prosegue diritto, l'altro vira a destra allontanandosi dal pendio per evitare la collisione.","[0/0]entrambi possono proseguire diritto, purché tengano conto di un cambio di quota per evitare la collisione.",

36,"In caso di precedenza tra un parapendio monoposto, un parapendio biposto e un deltaplano biposto:",[0/0]ha precedenza il parapendio monoposto.,[0/0]ha precedenza il deltaplano biposto.,[1/0]ha precedenza il parapendio biposto.,

37,Qual è il criterio generale di precedenza per deltaplani e parapendio in atterraggio?,[0/0]dare la precedenza a tutti i deltaplani o parapendio più lenti indipendentemente dalla quota cui si trovano.,[1/0]l'apparecchio più basso ha la precedenza.,[0/0]dare la precedenza a tutti i piloti più esperti.,

38,Nel Volo Libero è obbligatoria l'assicurazione RCT del mezzo?,[1/0]no.,[0/0]si.,"[0/0]sì, ma solo se si vola in luoghi molto frequentati.",

39,Il riporto di un'infrazione alla vigente legge che regola l'attività di Volo Libero dovrebbe essere fatto in prima istanza alla Competente Autorità che è:,[0/0]la Polizia di Stato.,[1/0]la Direzione Circoscrizionale di Aeroporto.,[0/0]i Carabinieri.,

40,Qual è uno dei requisiti richiesti per l'uso degli apparecchi biposto VDS/VL con passeggero a bordo?,[1/0]attestato di pilota in corso di validità e abilitazione al trasporto del passeggero.,[0/0]attestato di pilota in corso di validità con esperienza di almeno 30 ore.,"[0/0]attestato di pilota in corso di validità, buona esperienza di volo, condizioni meteo favorevoli.",

41,Che cosa studia l'aerodinamica?,[0/0]le leggi della dinamica dei fluidi.,[1/0]le leggi che regolano il moto di corpi solidi immersi in un fluido gassoso.,[0/0]lo spostamento delle masse d'aria nell'atmosfera terrestre.,

42,Che cosa è un'ala?,[0/0]è un corpo di forma prestabilita che genera portanza aerodinamica in ogni condizione.,[1/0]è un corpo di forma appropriata che posto in movimento rispetto all'aria genera forze aerodinamiche.,[0/0]è un corpo di forma qualsiasi che genera solo portanza quando posto in movimento rispetto all'aria.,

43,Che cosa s'intende per "profilo alare"?,[0/0]la proiezione dell'ala sul piano orizzontale.,[0/0]la proiezione dell'ala sul piano verticale passante per le estremità alari.,"[1/0]la sezione di un'ala, determinata su un piano perpendicolare all'asse trasversale.",

44,Quali sono i più comuni tipi di profilo alare utilizzati nel VDS/VL?,[0/0]piano convesso ed ellittico simmetrico.,[0/0]cavo convesso e biconvesso simmetrico.,"[1/0]concavo convesso, piano convesso e biconvesso.",

45,Che cosa s'intende rispettivamente per bordo d'attacco e per bordo d'uscita di un'ala?,[0/0]la parte dell'ala che si attacca alla fusoliera e l'estremità alare.,[0/0]il bordo esterno ed interno dell'ala.,[1/0]il bordo anteriore ed il bordo posteriore di un'ala.,

46,Che cosa è la corda alare o aerodinamica?,[1/0]è il segmento di retta che unisce il bordo d'attacco al bordo d'uscita del profilo alare.,[0/0]è il segmento di retta che identifica il piano di simmetria dell'ala.,[0/0]è la distanza tra le due estremità alari.,

47,Che cosa s'intende rispettivamente per estradosso e intradosso di un'ala?,[0/0]la superficie inferiore e la superficie superiore dell'ala stessa.,[1/0]la superficie superiore ed inferiore dell'ala stessa.,[0/0]la superficie interna ed esterna dell'ala stessa.,

48,Che cosa s'intende per apertura alare?,[1/0]la distanza tra le due estremità alari.,[0/0]la distanza tra bordo d'attacco e bordo d'uscita del profilo alare.,[0/0]la massima distanza tra estradosso ed intradosso dell'ala.,

49,Che cosa s'intende per allungamento di un'ala?,[0/0]è la distanza tra le estremità alari.,[0/0]è il rapporto tra superficie alare e apertura alare.,[1/0]è il rapporto tra il quadrato dell'apertura alare e la superficie dell'ala.,

50,Quant'è l'allungamento di un'ala di 25 metri quadri di superficie dotata di un'apertura alare di 10 metri?,[1/0]4 (quattro).,[0/0]2.5 (due virgola cinque).,[0/0]6.25 (sei virgola venticinque).,

51,Quali sono gli assi attorno ai quali si muove un'ala?,[0/0]quello longitudinale e quello verticale.,"[1/0]quello longitudinale, quello trasversale e quello verticale.",[0/0]quello longitudinale e quello trasversale.,

52,Come si chiama il movimento di un'ala rispetto al suo asse longitudinale?,[1/0]rollio.,[0/0]imbardata.,[0/0]beccheggio.,

53,Come si chiama il movimento di un'ala rispetto al suo asse trasversale?,[0/0]rollio.,[0/0]imbardata.,[1/0]beccheggio.,

54,Come si chiama il movimento di un'ala rispetto al suo asse verticale?,[0/0]rollio.,[1/0]imbardata.,[0/0]beccheggio.,

55,L'ala può essere considerata una "macchina"?,"[0/0]no, perché priva di particolari meccanismi.",[0/0]solo se dotata di superfici mobili.,"[1/0]sì, perché trasforma un tipo di energia in energia di tipo diverso.",

56,Il movimento di un'ala:,[1/0]disturba l'aria circostante all'interno del così detto "tubo di flusso".,[0/0]non disturba l'aria circostante.,"[0/0]disturba l'aria circostante, ma solo al di fuori di un "tubo di flusso".",

57,Per quale motivo parlando di aerodinamica è necessario fare riferimento al "tubo di flusso"?,[0/0]perché si usa fare così in fisica.,[0/0]perché gli esperimenti in galleria del vento sono effettuati in un locale a forma di tubo.,[1/0]perché le leggi dell'aerodinamica che regolano il volo valgono all'interno appunto di un tubo ideale detto "tubo di flusso".,

58,Che cosa è un "tubo di flusso"?,[1/0]la porzione di aria perturbata dal passaggio di un'ala.,[0/0]un congegno per la misura della velocità di un’ala.,[0/0]la zona interessata dalla sola scia di un'ala in movimento.,

59,All'interno di un "tubo di flusso":,[1/0]la presenza di un solido perturba comunque il flusso del fluido.,[0/0]la presenza di un solido opportunamente profilato non disturba il flusso di un fluido.,[0/0]la presenza di un solido determina necessariamente una variazione di portata.,

60,Un profilo investito da aria in movimento determina gli stessi effetti aerodinamici di un profilo che si muove nell'aria?,"[0/0]no, indipendentemente dalla velocità e direzione del movimento relativo.","[1/0]sì, ma solo se coincidono velocità e direzione del movimento relativo.",[0/0]dipende solamente dalla forma del corpo solido.,

61,Che cosa è il vento relativo?,[0/0]la differenza di velocità dell'aria che si riscontra sulle due semiali in virata.,[1/0]il vento incontrato dall'ala in quanto in movimento o il movimento relativo dell'aria rispetto all'ala.,[0/0]la differenza di velocità dell'aria su estradosso ed intradosso dell'ala in volo.,

62,"La velocità di cui è dotata un'ala e le forze a essa applicate quando vola, sono:","[1/0]grandezze fisiche rappresentabili con vettori (con direzione, verso, intensità e punto d'applicazione definiti) che si possono comporre o scomporre tra loro.",[0/0]grandezze fisiche che non si possono rappresentare graficamente ma che possono sommarsi e sottrarsi geometricamente.,[0/0]grandezze numeriche semplici con le quali è quindi possibile effettuare qualsiasi operazione.,

63,Quando si parla di pressione di un fluido su una superficie che cosa s'intende?,[0/0]è il prodotto della superficie per la forza che il fluido esercita sulla stessa.,[0/0]è il rapporto tra la forza che il fluido esercita sulla superficie e il quadrato della superficie stessa.,[1/0]è la forza che il fluido stesso esercita sull'unità di superficie.,

64,La pressione di un fluido in movimento all'interno di un tubo di flusso è la somma di:,[0/0]pressione dinamica e peso del fluido.,[1/0]pressione dinamica e pressione statica.,[0/0]pressione statica e portata del tubo di flusso.,

65,Che cosa è la pressione statica di un fluido?,[0/0]è il rapporto tra peso e velocità del fluido.,[0/0]è il rapporto tra peso e densità del fluido.,[1/0]è il peso della colonna di fluido che insiste sull'unità di superficie.,

66,Che cosa è la pressione dinamica di un fluido?,[0/0]è il rapporto tra la velocità di un fluido in movimento e la sua densità.,[0/0]è il rapporto tra la velocità di un fluido in movimento e la superficie del solido immerso in esso.,[1/0]è la pressione che un fluido esercita sulla superficie di un solido immerso in esso per effetto della velocità di scorrimento.,

67,Che cosa rappresenta l'espressione "1/2 ϱ V2"?,[0/0]la densità dell'aria ad una certa velocità.,[0/0]la pressione statica di un fluido la cui densità è pari a "p".,[1/0]la pressione dinamica di un fluido la cui densità è pari a "p" e la cui velocità è pari a "V".,

68,La portanza e la resistenza sono direttamente proporzionali:,[0/0]alla pressione statica.,[1/0]alla pressione dinamica.,[0/0]alla pressione totale.,

69,"I filetti fluidi che incontrano un profilo alare generando portanza, con quale principale differenza scorrono sulle superfici?",[1/0]differenza di velocità.,[0/0]differenza di densità.,[0/0]differenza molecolare.,

70,La velocità dell'aria su un'ala in volo è:,[1/0]maggiore sull'estradosso.,[0/0]maggiore sull'intradosso.,[0/0]identica sulle due superfici dell'ala.,

71,Un profilo in volo genera una pressione dinamica:,[1/0]maggiore sull'estradosso.,[0/0]minore sull'estradosso.,[0/0]identica sulle due superfici dell'ala.,

72,Un profilo in volo genera una pressione statica:,[0/0]identica sulle due superfici dell'ala.,[0/0]maggiore sull'estradosso.,[1/0]minore sull'estradosso.,

73,La legge di Bernoully dice:,[0/0]che la somma della pressione statica e dinamica del fluido non è costante.,[1/0]che la somma della pressione statica e dinamica del fluido è costante.,[0/0]che l'andamento della pressione statica del fluido non dipende da quello della pressione dinamica dello stesso.,

74,Che cosa mette in evidenza la legge di Bernoully in un tubo di Venturi a portata costante?,"[0/0]che variando la sezione del tubo, pressione e velocità del fluido rimangono invariate.","[0/0]che variando la sezione del tubo, varia solo la pressione dinamica del fluido.","[1/0]che variando la sezione del tubo variano velocità, pressione statica e pressione dinamica; la pressione totale non varia.",

75,"In un tubo di Venturi avente portata costante, al variare della sezione:",[1/0]la velocità del fluido varia.,[0/0]la velocità del fluido non varia.,[0/0]la pressione totale del fluido varia.,

76,In un tubo di Venturi avente portata costante la somma della pressione statica e della pressione dinamica del fluido (pressione totale):,[0/0]è variabile al variare della sezione.,[1/0]è costante al variare della sezione.,[0/0]dipende dalla densità del fluido.,

77,"All'interno di un tubo di flusso a portata costante, se la sezione diminuisce:",[0/0]la velocità del fluido aumenta e la sua pressione dinamica diminuisce.,[1/0]la velocità del fluido aumenta e la sua pressione dinamica aumenta.,[0/0]la velocità del fluido aumenta e quindi la pressione totale varia.,

78,All'interno di un tubo di flusso a portata costante dove la sezione aumenta:,[1/0]la velocità del fluido diminuisce e la sua pressione statica aumenta.,[0/0]la velocità del fluido diminuisce e la sua pressione statica diminuisce.,[0/0]la velocità del fluido diminuisce e quindi la pressione totale varia.,

79,L'ala di un deltaplano o di un parapendio utilizza il principio di Bernoully applicato a un tubo Venturi?,"[0/0]si, ma non nel volo in termica.",[1/0]si.,[0/0]no.,

80,I profili del deltaplano e del parapendio sono principalmente di tipo:,[0/0]biconvesso simmetrico.,[0/0]piano-convesso.,[1/0]concavo-convesso o biconvesso.,

81,Che cosa è la risultante aerodinamica?,[1/0]è la risultante di tutte le forze prodotte dall'ala in movimento rispetto all'aria.,[0/0]è la risultante o somma vettoriale del peso e della portanza.,[0/0]è una forza sempre diretta perpendicolarmente alla traiettoria di volo.,

82,La risultante aerodinamica è una forza:,[0/0]perpendicolare alla traiettoria di volo o al vento relativo.,[0/0]sempre parallela alla traiettoria di volo o al vento relativo.,[1/0]diretta verso l'alto e per questo in grado di contrastare la forza peso.,

83,La risultante aerodinamica si scompone in portanza e resistenza. Esse sono rispettivamente:,[0/0]la portanza perpendicolare alla corda alare e la resistenza parallela alla corda alare.,"[1/0]la portanza perpendicolare alla traiettoria di volo od alla direzione del vento relativo, la resistenza parallela ad esse.","[0/0]la portanza parallela al vento relativo od alla traiettoria di volo, la resistenza perpendicolare ad essi.",

84,"Se un profilo alare è investito da un vento relativo, si può sempre affermare che:",[0/0]si genera portanza.,[1/0]non si genera portanza senza che si generi resistenza.,[0/0]la resistenza generata dipende unicamente dalla forma del profilo.,

85,Nel volo del deltaplano e del parapendio:,[0/0]la resistenza è uguale e opposta alla velocità sulla traiettoria.,"[1/0]la resistenza a velocità costante, è uguale e opposta alla componente del peso lungo la traiettoria.",[0/0]la portanza e la resistenza si equilibrano.,

86,La resistenza è una forza aerodinamica che può essere considerata:,[0/0]sempre perpendicolare alla traiettoria di volo.,[0/0]sempre parallela alla corda aerodinamica.,[1/0]sempre parallela alla traiettoria di volo o alla direzione del vento relativo.,

87,Qual è la formula della resistenza?,[1/0]R = 1/2 ϱ S Cr V2,[0/0]R = 1/2 ϱ S2 Cr V,[0/0]R = 1/2 ϱ S Cr V,

88,In quale modo varia la resistenza aerodinamica di un'ala variando la densità dell'aria e la superficie dell'ala stessa?,[0/0]non varia in alcun modo.,[1/0]varia proporzionalmente.,[0/0]varia in modo inversamente proporzionale.,

89,Di quanto varia la resistenza aerodinamica di un profilo alare triplicandone la velocità:,[0/0]del triplo.,[0/0]non varia.,[1/0]diviene nove volte più grande.,

90,Che cosa è il Cr?,[0/0]un coefficiente numerico che dipende dal carico alare.,[1/0]un coefficiente numerico che dipende dalla forma del profilo e dalla sua incidenza di volo.,[0/0]una forza che dipende dalla forma del profilo e dalla sua incidenza di volo.,

91,Da quali tipi di resistenza è composta la resistenza aerodinamica di un'ala di deltaplano o parapendio?,"[1/0]dalla resistenza di attrito, da quella di forma e da quella indotta.",[0/0]dalla resistenza di forma e da quella indotta.,[0/0]dalla resistenza di attrito e da quella di forma.,

92,Che cosa è la resistenza di forma?,[1/0]è la parte di resistenza dovuta alla forma più o meno aerodinamica di un corpo.,[0/0]è la parte di resistenza dovuta alle dimensioni del corpo indipendentemente dalla forma aerodinamica dello stesso.,[0/0]è una forza il cui valore può essere nullo se la forma del corpo è molto aerodinamica.,

93,Su quale tipo di resistenza influisce principalmente lo spessore del profilo alare?,[0/0]sulla resistenza di attrito.,[0/0]sulla resistenza indotta.,[1/0]sulla resistenza di forma.,

94,La resistenza di forma:,[1/0]aumenta all'aumentare della velocità.,[0/0]diminuisce all'aumentare della velocità.,[0/0]non varia al variare della velocità.,

95,Che cosa è la resistenza di attrito?,[0/0]è la parte di resistenza dovuta alle dimensioni dell'ala.,[1/0]è la parte di resistenza dovuta all'attrito dell'aria sulla superficie dell'ala.,[0/0]è la parte di resistenza dovuta alla presenza inevitabile dei vortici marginali.,

96,Che cosa s'intende per strato limite?,[0/0]lo strato d'aria compreso tra superficie alare e superficie interna del tubo di flusso in cui vola l'ala.,[0/0]lo strato d'aria immediatamente esterno al tubo di flusso in cui è immersa l'ala.,[1/0]lo strato d'aria più prossimo all'ala compreso tra la superficie alare e lo strato nel quale la velocità del vento relativo è quella di regime.,

97,La resistenza d'attrito:,[1/0]dipende anche dalla natura dello strato limite.,[0/0]non dipende dalla natura dello strato limite.,[0/0]dipende dalla forma e dalle dimensioni dell'ala.,

98,Come varia la resistenza d'attrito al variare della velocità?,[0/0]aumenta al diminuire della velocità.,[1/0]aumenta all'aumentare della velocità.,[0/0]rimane costante al variare della velocità.,

99,Che cosa è la resistenza indotta?,[1/0]è la parte di resistenza dovuta al prodursi dei vortici marginali o d'estremità alare.,[0/0]è la parte di resistenza dovuta all'attrito dell'aria sulla superficie alare.,[0/0]è la parte di resistenza dovuta alla forma e alle dimensioni dell'ala.,

100,La resistenza indotta è originata:,[0/0]dall'attrito dell'aria sulla superficie alare che produce i vortici marginali.,[0/0]dallo spessore più o meno rilevante dell'ala che oltre certi valori produce vortici marginali.,[1/0]dalla differenza di pressione statica sotto e sopra l'ala.,

101,E' vero che la resistenza indotta dipende dall'allungamento alare?,[0/0]si e da nessun altro parametro o fattore.,"[1/0]sì, anche da esso ed è minore quando è maggiore l'allungamento.",[0/0]no.,

102,La resistenza indotta varia al variare della velocità?,"[0/0]sì, aumenta all'aumentare della velocità.",[0/0]no.,"[1/0]sì, diminuisce all'aumentare della velocità.",

103,A parità di altre condizioni un'ala con allungamento maggiore:,[1/0]è più efficiente.,[0/0]è meno efficiente.,[0/0]è più resistente.,

104,Lo scopo principale per cui si tende ad aumentare l'allungamento è:,[0/0]ottenere minore resistenza di forma.,[0/0]ottenere minore resistenza d'attrito.,[1/0]ottenere minore resistenza indotta.,

105,L'unica resistenza che diminuisce all'aumentare della velocità è:,[0/0]quella d'attrito.,[1/0]quella indotta.,[0/0]quella di forma.,

106,In che modo la resistenza aerodinamica è proporzionale alla velocità?,[0/0]direttamente.,[0/0]inversamente.,[1/0]direttamente e al quadrato della stessa.,

107,Diminuendo la resistenza aerodinamica di un profilo a parità di altre condizioni si ottiene:,[1/0]un miglioramento delle prestazioni con una maggiore efficienza.,[0/0]solo una maggiore velocità massima.,[0/0]solo un minor tasso minimo di caduta.,

108,La resistenza aerodinamica varia al variare dell'angolo d'incidenza?,[0/0]no.,"[0/0]sì, ma solo in virata.",[1/0]si.,

109,Si può diminuire la resistenza aerodinamica sino a ridurla a zero in volo?,"[0/0]si, variando opportunamente l'angolo d'incidenza.","[0/0]sì, in almeno due modi.",[1/0]no.,

110,Adottando un profilo sottilissimo:,[0/0]la resistenza assume valore zero con incidenza zero.,[1/0]la resistenza non si annulla comunque.,[0/0]la resistenza si annulla se la superficie alare è perfettamente levigata.,

111,Che cos'è la portanza?,"[0/0]è una forza ed è la componente della risultante aerodinamica, parallela alla direzione del vento relativo o alla traiettoria di volo.",[0/0]è una forza ed è la componente orizzontale della risultante aerodinamica.,[1/0]è una forza ed è la componente della risultante aerodinamica perpendicolare alla traiettoria di volo o alla direzione del vento relativo.,

112,"La portanza, in un profilo convenzionale, è generata prevalentemente:",[1/0]dalla diminuzione di pressione statica in corrispondenza dell'estradosso.,[0/0]dalla diminuzione di pressione dinamica in corrispondenza dell'estradosso.,[0/0]dall'aumento di pressione statica sull'estradosso.,

113,La portanza di un'ala dipende:,"[1/0]dal suo disegno, dalla densità dell'aria, dalla superficie alare, dalla velocità con cui si muove e dalla sua incidenza.",[0/0]dal suo disegno e dall'incidenza solamente.,[0/0]dall'incidenza solamente.,

114,Qual è la formula della portanza?,[0/0]P = 1/2 ϱ S2 Cp V,[1/0]P = 1/2 ϱ S Cp V2,[0/0]P = 1/2 ϱ S Cp V,

115,Nella formula della portanza il fattore Cp detto coefficiente di portanza è:,[0/0]una forza perpendicolare alla traiettoria di volo o alla direzione del vento relativo.,[0/0]una velocità che dipende dall'incidenza del profilo.,[1/0]un fattore numerico che dipende dal disegno e dall'incidenza del profilo.,

